WT	WT	WT	S6K1	S6K1	S6K1
WT 1A	WT 2A	WT 3A	S6K1- 4A	S6K1- 5A	S6K1- 6A
0.320663102	0.213368984	0.357240642	0.224342246	0.30115508	0.28286631
0.318224599	0.210930481	0.354802139	0.223122995	0.298716578	0.280427807
0.314566845	0.20971123	0.352363636	0.220684492	0.296278075	0.277989305
0.30968984	0.207272727	0.349925134	0.218245989	0.295058824	0.275550802
0.307251337	0.204834225	0.34626738	0.217026738	0.293839572	0.274331551
0.304812834	0.203614973	0.343828877	0.214588235	0.29140107	0.271893048
0.302374332	0.201176471	0.341390374	0.212149733	0.290181818	0.269454545
0.30115508	0.198737968	0.338951872	0.20971123	0.287743316	0.267016043
0.298716578	0.196299465	0.336513369	0.208491979	0.285304813	0.26457754
0.297497326	0.195080214	0.332855615	0.206053476	0.28286631	0.262139037
0.296278075	0.193860963	0.330417112	0.203614973	0.280427807	0.258481283
0.293839572	0.19142246	0.326759358	0.202395722	0.277989305	0.256042781
0.292620321	0.190203209	0.323101604	0.199957219	0.275550802	0.253604278
0.288962567	0.188983957	0.31944385	0.198737968	0.273112299	0.251165775
0.286524064	0.186545455	0.317005348	0.196299465	0.270673797	0.248727273
0.284085561	0.185326203	0.313347594	0.193860963	0.268235294	0.24628877
0.280427807	0.182887701	0.310909091	0.19142246	0.265796791	0.243850267
0.276770053	0.181668449	0.307251337	0.190203209	0.263358289	0.241411765
0.274331551	0.180449198	0.303593583	0.187764706	0.260919786	0.238973262
0.271893048	0.178010695	0.30115508	0.186545455	0.258481283	0.236534759
0.269454545	0.176791444	0.297497326	0.184106952	0.256042781	0.234096257
0.267016043	0.176791444	0.293839572	0.181668449	0.252385027	0.231657754
0.26457754	0.175572193	0.290181818	0.180449198	0.249946524	0.229219251
0.262139037	0.175572193	0.287743316	0.178010695	0.247508021	0.225561497
0.259700535	0.174352941	0.284085561	0.175572193	0.245069519	0.224342246
0.257262032	0.17313369	0.280427807	0.174352941	0.242631016	0.221903743
0.253604278	0.171914439	0.276770053	0.17313369	0.240192513	0.219465241
0.251165775	0.171914439	0.273112299	0.171914439	0.236534759	0.217026738
0.247508021	0.171914439	0.269454545	0.169475936	0.234096257	0.214588235
0.245069519	0.171914439	0.267016043	0.168256684	0.231657754	0.213368984
0.242631016	0.171914439	0.26457754	0.167037433	0.229219251	0.210930481
0.240192513	0.171914439	0.260919786	0.165818182	0.226780749	0.20971123
0.237754011	0.17313369	0.258481283	0.16459893	0.225561497	0.208491979
0.234096257	0.171914439	0.256042781	0.162160428	0.223122995	0.207272727
0.231657754	0.171914439	0.253604278	0.160941176	0.220684492	0.204834225
0.229219251	0.171914439	0.251165775	0.159721925	0.218245989	0.203614973
0.225561497	0.171914439	0.249946524	0.158502674	0.217026738	0.202395722
0.223122995	0.170695187	0.247508021	0.157283422	0.214588235	0.201176471
0.220684492	0.170695187	0.245069519	0.157283422	0.213368984	0.198737968
0.217026738	0.171914439	0.243850267	0.156064171	0.212149733	0.197518717
0.214588235	0.175572193	0.241411765	0.15484492	0.210930481	0.196299465
0.212149733	0.178010695	0.240192513	0.15484492	0.208491979	0.195080214
0.20971123	0.180449198	0.237754011	0.15484492	0.207272727	0.195080214
0.207272727	0.179229947	0.236534759	0.153625668	0.206053476	0.195080214
0.206053476	0.176791444	0.234096257	0.153625668	0.204834225	0.193860963
0.203614973	0.174352941	0.232877005	0.153625668	0.203614973	0.193860963
0.201176471	0.179229947	0.231657754	0.153625668	0.202395722	0.192641711
0.199957219	0.184106952	0.230438503	0.153625668	0.202395722	0.192641711
0.197518717	0.188983957	0.230438503	0.153625668	0.201176471	0.192641711
0.196299465	0.192641711	0.229219251	0.153625668	0.201176471	0.193860963
0.195080214	0.196299465	0.228	0.153625668	0.201176471	0.196299465
0.193860963	0.196299465	0.229219251	0.153625668	0.201176471	0.197518717
0.19142246	0.198737968	0.230438503	0.15484492	0.202395722	0.199957219
0.190203209	0.199957219	0.231657754	0.158502674	0.202395722	0.204834225
0.188983957	0.210930481	0.232877005	0.165818182	0.203614973	0.208491979
0.187764706	0.236534759	0.232877005	0.169475936	0.203614973	0.208491979
0.186545455	0.296278075	0.235315508	0.170695187	0.203614973	0.206053476
0.185326203	0.290181818	0.236534759	0.169475936	0.204834225	0.206053476
0.184106952	0.236534759	0.240192513	0.169475936	0.206053476	0.208491979
0.182887701	0.207272727	0.245069519	0.170695187	0.210930481	0.212149733
0.181668449	0.195080214	0.245069519	0.175572193	0.214588235	0.214588235
0.181668449	0.188983957	0.245069519	0.179229947	0.219465241	0.218245989
0.181668449	0.185326203	0.247508021	0.182887701	0.221903743	0.220684492
0.180449198	0.182887701	0.251165775	0.186545455	0.221903743	0.223122995
0.181668449	0.180449198	0.253604278	0.19142246	0.223122995	0.231657754
0.182887701	0.179229947	0.257262032	0.193860963	0.221903743	0.257262032
0.187764706	0.176791444	0.273112299	0.196299465	0.225561497	0.296278075
0.188983957	0.176791444	0.308470588	0.217026738	0.231657754	0.318224599
0.187764706	0.175572193	0.340171123	0.248727273	0.241411765	0.249946524
0.192641711	0.174352941	0.275550802	0.285304813	0.251165775	0.199957219
0.196299465	0.174352941	0.219465241	0.240192513	0.254823529	0.178010695
0.197518717	0.174352941	0.195080214	0.199957219	0.256042781	0.169475936
0.198737968	0.17313369	0.185326203	0.181668449	0.257262032	0.165818182
0.204834225	0.17313369	0.180449198	0.174352941	0.271893048	0.162160428
0.208491979	0.171914439	0.176791444	0.170695187	0.308470588	0.159721925
0.212149733	0.171914439	0.17313369	0.168256684	0.351144385	0.158502674
0.220684492	0.171914439	0.171914439	0.165818182	0.295058824	0.156064171
0.229219251	0.171914439	0.169475936	0.16459893	0.223122995	0.15484492
0.236534759	0.170695187	0.168256684	0.162160428	0.187764706	0.153625668
0.241411765	0.170695187	0.167037433	0.160941176	0.174352941	0.153625668
0.260919786	0.170695187	0.165818182	0.160941176	0.168256684	0.152406417
0.29140107		0.165818182	0.159721925	0.16459893	0.151187166
0.326759358		0.16459893	0.158502674	0.162160428	0.151187166
0.273112299		0.16459893	0.158502674	0.159721925	0.151187166
0.210930481		0.163379679	0.157283422	0.157283422	0.149967914
0.181668449		0.162160428	0.157283422	0.156064171	0.149967914
0.170695187		0.162160428	0.157283422	0.15484492	0.149967914
0.16459893		0.162160428	0.156064171	0.153625668	0.148748663
0.160941176		0.160941176	0.156064171	0.152406417	0.148748663
0.158502674		0.160941176	0.156064171	0.152406417	0.148748663
0.156064171		0.160941176	0.15484492	0.151187166	0.147529412
0.15484492		0.159721925	0.15484492	0.151187166	0.147529412
0.152406417		0.159721925	0.15484492	0.151187166	
0.151187166		0.159721925	0.15484492	0.149967914	
0.149967914		0.158502674	0.15484492	0.149967914	
0.149967914		0.158502674	0.153625668	0.149967914	
0.148748663		0.158502674	0.153625668	0.149967914	
0.148748663		0.157283422	0.153625668	0.148748663	
0.147529412		0.157283422	0.153625668	0.148748663	
0.147529412		0.157283422	0.153625668	0.148748663	
0.147529412			0.152406417	0.148748663	
0.14631016			0.152406417	0.147529412	
0.14631016			0.152406417		
0.14631016			0.152406417		
0.145090909			0.152406417		
0.145090909			0.152406417
			0.152406417
			0.152406417
			0.152406417
			0.152406417
			0.152406417
			0.151187166
			0.151187166
			0.151187166
			0.151187166
			0.151187166
			0.151187166
			0.151187166
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.149967914
			0.148748663
			0.148748663
			0.148748663
			0.147529412
			0.147529412
			0.147529412
			0.147529412
			0.147529412
			0.147529412
			0.147529412
			0.148748663
			0.148748663
			0.148748663
			0.149967914
			0.149967914
			0.148748663
