WT	WT	KO	KO
0.098759155	0.102417417	0.132897984	0.07071684
0.097539904	0.098759663	0.130459481	0.069497588
0.095101401	0.09632116	0.126801727	0.067059086
0.092662898	0.093882658	0.124363225	0.064620583
0.089005144	0.090224904	0.121924722	0.063401332
0.086566642	0.08656715	0.118266968	0.060962829
0.084128139	0.082909396	0.115828465	0.058524326
0.081689636	0.080470893	0.112170711	0.056085824
0.079251134	0.076813139	0.109732209	0.053647321
0.07559338	0.073155385	0.106074455	0.051208818
0.073154877	0.069497631	0.102416701	0.048770316
0.069497123	0.067059128	0.098758947	0.045112561
0.06705862	0.062182123	0.095101193	0.042674059
0.063400866	0.05974362	0.091443439	0.040235556
0.060962364	0.056085866	0.087785684	0.037797053
0.05730461	0.052428112	0.08412793	0.035358551
0.054866107	0.048770358	0.080470176	0.032920048
0.051208353	0.046331856	0.075593171	0.030481545
0.04876985	0.042674102	0.071935417	0.028043043
0.046331348	0.039016348	0.068277663	0.02560454
0.042673594	0.035358594	0.064619909	0.024385289
0.040235091	0.03170084	0.060962155	0.021946786
0.037796588	0.029262337	0.057304401	0.019508283
0.034138834	0.026823834	0.053646647	0.018289032
0.031700332	0.024385332	0.049988893	0.015850529
0.029261829	0.021946829	0.046331139	0.014631278
0.026823326	0.019508326	0.043892636	0.013412027
0.024384824	0.017069824	0.041454134	0.010973524
0.021946321	0.014631321	0.03779638	0.008535021
0.019507818	0.012192818	0.035357877	0.00731577
0.017069316	0.010973567	0.031700123	0.006096519
0.013411561	0.008535064	0.02926162	0.004877267
0.01219231	0.006096561	0.025603866	0.003658016
0.009753807	0.003658059	0.023165364	0.002438765
0.008534556	0.002438807	0.020726861	0.001219513
0.006096053	0.002438807	0.017069107	0.001219513
0.004876802	0.001219556	0.014630604	2.62032E-07
0.002438299	0.001219556	0.012192102	2.62032E-07
0.001219048	0.001219556	0.009753599	0.001219513
0.001219048	3.04813E-07	0.007315096	0.001219513
0.001219048	0.001219556	0.004876594	0.002438765
-2.03209E-07	0.003658059	0.002438091	0.003658016
-2.03209E-07	0.009754316	0.00121884	0.00731577
