Young WT	Young KO	Old WT	Old KO	Old KO	Old KO
0.11339061	0.121925118	0.159721455	0.236534786	0.142652668	0.168256465
0.14143339	0.175572176	0.167036963	0.204834251	0.14387192	0.192641492
0.207272963	0.281647043	0.178010225	0.178010722	0.15362593	0.203614754
0.337732856	0.414545439	0.202395251	0.158502701	0.173133952	0.190202989
0.495016278	0.516962551	0.25604231	0.14874869	0.217027	0.165817963
0.604748898	0.55232084	0.358459422	0.146310187	0.301155342	0.142652187
0.631572428	0.512085545	0.480384556	0.149967941	0.419422722	0.12680192
0.575486866	0.423080198	0.577924663	0.163379706	0.530374594	0.121924914
0.473069754	0.330417096	0.62059846	0.18532623	0.601091171	0.124363417
0.365775636	0.253604262	0.594994182	0.218246016	0.623037695	0.132898176
0.279208791	0.193860947	0.512085091	0.273112326	0.59133716	0.146309941
0.213369219	0.147529396	0.41088723	0.366994679	0.515743578	0.167037214
0.163379914	0.110951856	0.321881882	0.487700561	0.423080476	0.198737749
0.125583123	0.081689824	0.252384556	0.588898422	0.343829139	0.247507802
0.093882588	0.060962551	0.197518246	0.627914465	0.286524326	0.302374112
0.069497561	0.045112283	0.154844449	0.591336925	0.240192775	0.358459674
0.04998954	0.035358273	0.11948616	0.499893075	0.195080476	0.424299246
0.035358524	0.028042765	0.092662631	0.39503746	0.154845182	0.487700316
0.024385262	0.023165759	0.071935358	0.306032112	0.119486893	0.513304594
0.017069754	0.018288754	0.05486584	0.237754037	0.08900561	0.496235075
0.012192749	0.014631	0.041454075	0.186545481	0.064620583	0.44624577
0.007315743	0.012192497	0.031700064	0.147529439	0.046331813	0.37309069
0.003657989	0.008534743	0.024384556	0.115828904	0.032920048	0.296277856
0.001219487	0.006096241	0.017069048	0.09388238	0.021946786	0.229219032
0.001219487	0.004876989	0.012192043	0.080470615	0.014631278	0.174352722
0.001219487	0.003657738	0.00975354	0.068278102	0.009754273	0.132898176
0.004877241	0.002438487	0.007315037	0.056085588	0.00731577	0.102416893
0.006096492	0.002438487	0.006095786	0.043893075	0.00731577	0.080470369
0.008534995	0.001219235	0.004876535	0.034139064	0.00731577	0.060962348
0.012192749	0.001219235	0.002438032	0.028042807	0.00731577	0.04511208
0.014631251	0.002438487	0.002438032	0.023165802	0.006096519	0.032919567
0.015850503	0.002438487	0.002438032	0.019508048	0.002438765	0.021946305
0.017069754	-1.60428E-08	0.001218781	0.015850294	2.62032E-07	0.013411545
0.017069754	0.001219235	-4.70588E-07	0.015850294	0.002438765	0.00853454
0.014631251	0.004876989	0.002438032	0.013411791	0.002438765	0.004876786
0.013412	0.007315492	0.004876535	0.010973289	0.002438765	0.002438283
0.015850503	0.008534743	0.004876535	0.008534786	0.003658016	0.001219032
0.032920021	0.012192497	0.007315037	0.004877032	0.00731577	0.003657535
0.084128578	0.014631	0.014630545	0.001219278	0.006096519	0.003657535
0.146310396	0.024385011	0.019507551	2.6738E-08	0.009754273	0.006096037
0.106075102	0.043893032	0.023165305	2.6738E-08	0.012192775	0.006096037
0.067059059	0.086566829	0.032919316	0.001219278	0.015850529	0.003657535
0.052428043	0.138994636	0.057304342	0.007315535	0.017069781	-2.19251E-07
	0.101197845	0.060962096	0.013411791	0.021946786	0.002438283
	0.067058807	0.114609155	0.019508048	0.040235556	0.004876786
	0.054866294	0.149967444	0.021946551	0.056085824	0.006096037
		0.084127872	0.023165802	0.115829139	0.012192294
		0.039015572	0.028042807	0.134117909	0.02682331
		0.023165305	0.028042807	0.081690102	0.068277856
			0.041454572	0.047551064	0.149967695
			0.080470615	0.036577802	0.104855396
			0.152406444		0.049989086
			0.110951898		0.028042561
			0.052427834		
			0.026823556		
